,CODMUNRES
355030,1896186
351880,180794
350950,172878
354780,127346
353440,110656
354850,107957
354870,106601
354340,101314
355220,98995
354990,86593
354980,74091
352590,65847
353870,64294
350600,62637
353060,62324
355100,61372
351380,56005
352940,54914
351620,51342
354100,48968
351870,48843
355410,46896
352690,46230
351060,45920
352310,40477
355250,39930
350320,39193
354890,38986
350570,38652
352900,38350
354140,37607
354880,37531
350280,36530
354390,36069
355280,35495
352440,34716
350160,34627
351500,32313
355240,31151
351300,29566
350760,28112
352050,27886
354580,27607
352390,25984
352230,25855
352250,25563
350550,25094
352530,24894
351110,24559
351907,24222
350410,23851
353070,23830
352220,23119
353800,23041
351570,23005
350750,22891
351840,22615
350000,21517
350330,20891
355400,20280
351640,20181
351630,19701
353470,19677
350400,19082
351350,18472
354910,18140
352210,18105
350650,17830
354330,17569
355700,17389
351050,17318
354520,17225
355170,16924
353980,16904
352720,16674
353080,16436
352240,16431
352340,16288
355620,16259
350450,15963
352670,15938
355710,15810
352260,15382
352710,15232
351340,15111
355500,14906
350610,14516
350850,14254
352430,13921
355060,13868
353930,13478
353050,13277
353760,13198
351550,12994
350190,12933
355650,12769
352930,12641
351970,12443
352850,12324
352500,12316
353730,11823
350210,11749
355540,11629
350960,11551
350900,11486
354730,11420
351510,11404
350390,10929
355370,10682
350590,10456
354970,10375
353780,10117
353110,10111
351960,10012
355070,9796
353650,9731
353030,9677
352680,9672
351670,9658
353390,9643
352320,9609
351440,9591
354260,9364
352480,9339
354070,9225
355670,9199
351518,9158
350970,9073
351020,9057
353130,8886
350920,8801
354680,8797
354060,8763
354640,8539
351280,8308
351040,8253
352270,8191
354940,8179
353550,8149
355010,7897
354130,7850
353340,7809
352410,7798
355210,7724
355640,7388
354150,7362
353350,7361
353180,7359
352840,7355
350010,7318
353670,7311
350250,7207
350700,7205
354530,7187
351740,6997
353710,6926
350530,6790
350520,6599
351080,6586
353460,6560
355040,6531
354160,6530
355450,6521
353430,6437
350635,6374
350070,6342
354660,6305
352470,6298
350030,6272
353880,6233
354750,6210
354220,6173
352510,6038
351000,6001
352030,5965
351820,5940
350380,5859
355160,5805
355480,5795
351370,5786
354410,5732
355645,5722
352570,5713
350860,5646
351150,5575
350840,5548
353950,5416
351860,5414
353010,5348
355150,5314
351310,5287
354020,5255
355020,5244
353890,5226
351410,5169
352010,5151
353740,5103
352640,5085
353860,5024
352400,5016
350290,4894
354630,4872
352620,4826
353530,4801
351830,4756
355340,4750
352920,4709
350925,4620
350660,4607
353790,4596
350270,4540
352730,4536
351930,4508
354770,4472
355380,4424
350170,4399
352180,4396
355330,4356
353920,4339
352000,4292
354760,4263
353190,4229
350940,4218
350130,4168
353140,4163
354400,4106
351360,4079
351220,4069
350560,4032
350790,4015
352600,4006
352610,3939
352740,3913
352044,3887
350050,3867
350220,3855
352990,3853
352520,3841
350880,3723
354000,3712
355630,3671
352970,3669
353150,3665
350870,3571
350580,3545
351230,3524
354800,3514
351760,3513
351140,3499
350780,3495
351770,3475
353300,3462
354240,3458
352100,3449
350800,3369
353620,3360
355430,3353
353810,3327
351200,3292
353240,3290
351100,3267
352170,3254
352040,3248
355510,3227
353850,3197
354300,3196
350810,3189
351540,3186
351240,3160
352280,3155
355680,3111
352190,3102
354500,3071
350710,3024
353020,2982
353560,2941
354080,2941
354560,2922
352140,2918
355090,2911
352460,2854
350100,2849
354120,2837
353580,2832
351450,2832
350740,2826
352350,2811
355270,2792
351750,2789
352090,2787
354425,2781
352800,2756
351070,2738
354670,2726
355600,2726
351030,2724
350420,2721
351160,2709
354075,2683
353700,2669
351390,2656
353540,2615
355720,2610
353490,2590
350630,2561
351480,2552
353820,2525
353940,2517
351170,2510
352880,2477
355260,2465
355360,2464
355660,2450
351490,2422
355180,2416
355080,2407
352360,2404
355190,2392
354600,2390
351600,2387
350670,2361
352980,2354
353600,2352
352290,2342
350115,2336
353260,2318
350460,2314
352550,2288
350990,2285
354995,2243
350275,2218
354380,2185
351690,2181
352330,2179
354170,2173
352130,2155
355000,2151
353900,2144
353520,2144
351700,2140
354090,2110
350680,2105
353500,2103
353630,2098
351940,2095
353910,2093
354860,2091
354540,2084
354290,2039
351850,2007
354370,1999
353250,1965
355470,1961
355560,1949
353200,1897
351910,1884
354190,1879
350490,1877
355580,1863
355395,1853
351430,1850
351790,1848
352042,1847
355610,1829
353720,1822
351720,1810
350040,1805
352860,1785
350440,1753
350480,1709
350340,1699
354420,1696
351780,1696
353660,1686
351515,1675
350930,1671
355110,1669
350370,1664
351660,1664
351130,1663
351290,1656
352160,1648
354490,1646
355140,1643
355440,1611
354430,1610
351900,1602
354050,1593
350360,1592
354210,1587
355300,1585
350690,1576
351520,1570
355730,1566
351990,1564
353480,1562
354350,1557
352020,1554
352810,1541
353290,1501
354570,1491
351535,1491
350540,1479
355635,1470
353475,1446
352380,1446
351980,1420
353510,1416
353750,1405
350640,1384
355350,1375
352150,1370
351950,1364
354950,1353
353120,1338
351120,1324
351905,1322
353230,1312
354790,1293
350180,1292
355050,1272
354690,1264
352420,1258
351560,1239
353410,1237
354250,1227
354460,1220
355230,1220
353360,1211
351920,1210
352760,1203
353282,1200
355490,1196
350510,1195
354810,1194
354480,1189
353680,1188
351470,1179
351885,1173
352700,1168
351810,1168
355390,1156
