,causabas_capitulo
IX.  Doenças do aparelho circulatório,1810604
II.  Neoplasias (tumores),1028392
X.   Doenças do aparelho respiratório,709942
XX.  Causas externas de morbidade e mortalidade,561550
I.   Algumas doenças infecciosas e parasitárias,373800
XI.  Doenças do aparelho digestivo,330830
XVIII.Sint sinais e achad anorm ex clín e laborat,321545
IV.  Doenças endócrinas nutricionais e metabólicas,285944
XIV. Doenças do aparelho geniturinário,160761
VI.  Doenças do sistema nervoso,142758
Outros,89009
V.   Transtornos mentais e comportamentais,50011
XV.  Gravidez parto e puerpério,6691
