iter	MultiClass	Accuracy
0	2.336806785	0.2626315106
1	2.290877544	0.2700350695
2	2.250564125	0.2815950123
3	2.219778858	0.2771788544
4	2.19427896	0.2875698143
5	2.16836089	0.2905572152
6	2.153325547	0.2967917911
7	2.138694728	0.3035459151
8	2.123378127	0.305624107
9	2.109732622	0.30549422
10	2.099756041	0.308481621
11	2.091197426	0.3128977789
12	2.084417245	0.3145863099
13	2.073502487	0.3135472139
14	2.062699774	0.3170541629
15	2.053935918	0.3205611118
16	2.043554603	0.3260163658
17	2.034206515	0.3319911677
18	2.027024208	0.3323808287
19	2.018426358	0.3343291337
20	2.012154409	0.3352383426
21	2.007454462	0.3352383426
22	2.002883911	0.3362774386
23	1.997360363	0.3370567606
24	1.994255736	0.3390050656
25	1.990762625	0.3404338226
26	1.983651572	0.3416028056
27	1.979656281	0.3425120145
28	1.9755811	0.3440706585
29	1.969977378	0.3461488505
30	1.966089778	0.3470580595
31	1.96100039	0.3499155735
32	1.958409609	0.3487465905
33	1.955079032	0.3492661385
34	1.951787423	0.3512144434
35	1.947332964	0.3545915054
36	1.94354562	0.3543317314
37	1.940125534	0.3542018444
38	1.938176887	0.3555007144
39	1.934871138	0.3552409404
40	1.930833957	0.3561501494
41	1.927442011	0.3565398104
42	1.92438401	0.3575789064
43	1.921489479	0.3593973243
44	1.918400601	0.3609559683
45	1.914329046	0.3608260813
46	1.911058344	0.3629042733
47	1.909511219	0.3636835953
48	1.906177016	0.3645928043
49	1.902843414	0.3660215612
50	1.899214266	0.3669307702
51	1.896615165	0.3687491882
52	1.894523134	0.3700480582
53	1.890497357	0.3683595272
54	1.888322973	0.3697882842
55	1.886285232	0.3701779452
56	1.883951368	0.3714768152
57	1.881249505	0.3730354592
58	1.878158036	0.3743343291
59	1.87512121	0.3758929731
60	1.872580485	0.3778412781
61	1.870408585	0.3782309391
62	1.868102441	0.3796596961
63	1.865518444	0.3787504871
64	1.862806104	0.3796596961
65	1.8607443	0.380958566
66	1.857996549	0.380828679
67	1.855792087	0.380828679
68	1.853877132	0.380958566
69	1.850529681	0.3800493571
70	1.848179732	0.381608001
71	1.846444818	0.381608001
72	1.843892981	0.38381608
73	1.840306373	0.385504611
74	1.838649883	0.387193142
75	1.836082977	0.3887517859
76	1.834165509	0.387842577
77	1.832689298	0.3895311079
78	1.830585531	0.388362125
79	1.827722399	0.3904403169
80	1.825667711	0.3904403169
81	1.823154033	0.3917391869
82	1.820574935	0.3925185089
83	1.818144839	0.3936874919
84	1.815326159	0.3944668139
85	1.813464424	0.3960254579
86	1.812073958	0.3965450058
87	1.810596118	0.3961553448
88	1.808503109	0.3975841018
89	1.806515943	0.3974542148
90	1.804529778	0.3973243278
91	1.802614429	0.3986231978
92	1.800944093	0.3990128588
93	1.798167345	0.4014807118
94	1.795862715	0.4012209378
95	1.793891746	0.4018703728
96	1.792283988	0.4029094688
97	1.789844667	0.4038186778
98	1.787334196	0.4045979997
99	1.785510513	0.4066761917
100	1.78444085	0.4066761917
101	1.782602191	0.4071957397
102	1.779738104	0.4101831407
103	1.777317898	0.4104429147
