iter	Passed	Remaining
0	390	390182
1	585	292107
2	804	267292
3	975	242992
4	1187	236367
5	1268	210157
6	1456	206672
7	1597	198151
8	1756	193380
9	1930	191134
10	2134	191926
11	2325	191504
12	2397	182042
13	2626	184967
14	2779	182540
15	2977	183101
16	3185	184195
17	3372	183985
18	3550	183294
19	3634	178105
20	3770	175795
21	3973	176646
22	4054	172238
23	4265	173465
24	4455	173748
25	4537	169973
26	4747	171076
27	4890	169763
28	4984	166885
29	5192	167906
30	5381	168199
31	5572	168582
32	5661	165900
33	5820	165374
34	5970	164617
35	6156	164862
36	6331	164787
37	6420	162535
38	6626	163278
39	7031	168759
40	7217	168808
41	7298	166465
42	7474	166355
43	7649	166210
44	7865	166919
45	8040	166753
46	8229	166858
47	8304	164714
48	8504	165049
49	8688	165073
50	8771	163218
51	8916	162554
52	9111	162804
53	9207	161293
54	9396	161456
55	9606	161934
56	9672	160020
57	9879	160454
58	10038	160112
59	10157	159127
60	10291	158421
61	10477	158518
62	10667	158654
63	10891	159292
64	11047	158916
65	11146	157739
66	11327	157743
67	11530	158032
68	11689	157723
69	11898	158082
70	12074	157983
71	12231	157651
72	12355	156903
73	12551	157068
74	12719	156879
75	12875	156543
76	13037	156280
77	13160	155567
78	13336	155474
79	13508	155346
80	13668	155081
81	13845	154999
82	14044	155169
83	14116	153941
84	14303	153975
85	14484	153942
86	14641	153652
87	14741	152770
88	14885	152363
89	15066	152337
90	15271	152552
91	15446	152450
92	15569	151846
93	15831	152585
94	16025	152666
95	16107	151675
96	16276	151523
97	16455	151459
98	16634	151386
99	16827	151446
100	16895	150386
101	17052	150125
102	17278	150478
103	17446	150310
104	17519	149330
105	17703	149309
106	17852	148993
107	18039	148995
108	18128	148185
109	18291	147994
110	18484	148039
111	18675	148072
112	18771	147351
113	18978	147498
114	19166	147502
115	19244	146659
116	19412	146502
117	19605	146543
118	19775	146405
119	19939	146222
120	20123	146183
121	20313	146188
122	20380	145313
123	20573	145344
124	20772	145410
125	20921	145118
126	21111	145118
127	21217	144546
128	21329	144016
129	21491	143826
130	21678	143809
131	21869	143811
132	21972	143234
133	22102	142839
134	22323	143037
135	22485	142850
136	22568	142163
137	22744	142067
138	23116	143189
139	23326	143294
140	23400	142558
141	23779	143679
142	23955	143565
143	24153	143579
144	24224	142841
145	24446	142994
146	24624	142887
147	24825	142911
148	24916	142310
149	25115	142323
150	25201	141697
151	25343	141389
152	25523	141299
153	25750	141458
154	25927	141346
155	26094	141179
156	26289	141159
157	26460	141008
158	26636	140891
159	26835	140885
160	26971	140552
161	27257	140998
162	27383	140611
163	27510	140233
164	27706	140213
165	27882	140086
166	27983	139580
167	28127	139298
168	28293	139123
169	28519	139242
170	28586	138586
171	28736	138334
172	28961	138446
173	29154	138398
174	29300	138131
175	29365	137485
176	29561	137450
177	29743	137354
178	29838	136857
179	29999	136665
180	30231	136793
181	30396	136617
182	30600	136614
183	30758	136407
184	30940	136306
185	31031	135806
186	31207	135679
187	31425	135731
188	31601	135601
189	31703	135155
190	31838	134857
191	32046	134862
192	32242	134817
193	32438	134770
194	32505	134188
195	32776	134451
196	32876	134010
197	33057	133899
198	33241	133801
199	33345	133382
200	33567	133433
201	33777	133437
202	33874	132994
203	34063	132916
204	34261	132867
205	34425	132688
206	34600	132550
207	34729	132237
208	34916	132147
209	35111	132084
210	35322	132082
