iter	MultiClass	Accuracy
0	2.344733126	0.2454864268
1	2.295656655	0.2758799844
2	2.257368522	0.2839329783
3	2.226997455	0.2823743343
4	2.199121343	0.2853617353
5	2.182665676	0.2864008313
6	2.16484655	0.2891284582
7	2.148902146	0.2948434862
8	2.130969439	0.3032861411
9	2.118324123	0.3035459151
10	2.101689309	0.30809196
11	2.091467787	0.309780491
12	2.081616658	0.308741395
13	2.070650573	0.310559813
14	2.059080016	0.3119885699
15	2.049789276	0.3143265359
16	2.044557473	0.3148460839
17	2.036731492	0.3149759709
18	2.031470663	0.3170541629
19	2.02248514	0.3227691908
20	2.014240822	0.3266658008
21	2.010277061	0.3270554617
22	2.005811207	0.3269255747
23	1.999845809	0.3308221847
24	1.994796746	0.3317313937
25	1.987402526	0.3347187946
26	1.982603428	0.3336796987
27	1.979693788	0.3343291337
28	1.975990513	0.3347187946
29	1.96956014	0.3383556306
30	1.966283049	0.3390050656
31	1.96199771	0.3405637096
32	1.958614909	0.3416028056
33	1.955451137	0.3435511105
34	1.952192134	0.3436809975
35	1.948757219	0.3442005455
36	1.943686936	0.3457591895
37	1.940088882	0.3465385115
38	1.938142521	0.3469281725
39	1.934835562	0.3488764775
40	1.930417646	0.3510845564
41	1.92774044	0.3510845564
42	1.924502019	0.3510845564
43	1.921127437	0.3532926354
44	1.918414854	0.3536822964
45	1.915638758	0.3545915054
46	1.913726506	0.3560202624
47	1.912448273	0.3564099234
48	1.90938385	0.3578386803
49	1.9072744	0.3584881153
50	1.904290423	0.3623847253
51	1.901900111	0.3642031433
52	1.897903383	0.3670606572
53	1.894867889	0.3687491882
54	1.891441278	0.3687491882
55	1.887943826	0.3693986232
56	1.885587257	0.3701779452
57	1.882766837	0.3717365892
58	1.881351401	0.3722561372
59	1.877475334	0.3740745551
60	1.87421415	0.3751136511
61	1.872592588	0.3771918431
62	1.869847063	0.3758929731
63	1.867225452	0.3777113911
64	1.865946002	0.3777113911
65	1.863392796	0.3784907131
66	1.861498399	0.3797895831
67	1.859556445	0.3793999221
68	1.857726731	0.3800493571
69	1.855356556	0.380828679
70	1.852737344	0.382257436
71	1.850757791	0.381737888
72	1.848284699	0.382906871
73	1.846469556	0.383166645
74	1.843874431	0.38511495
75	1.841381634	0.386673594
76	1.84002067	0.386283933
77	1.837795041	0.387323029
78	1.836137698	0.387323029
79	1.833329898	0.387842577
80	1.832021327	0.387193142
81	1.828726224	0.3901805429
82	1.827033361	0.3894012209
83	1.825009971	0.3907000909
84	1.823091543	0.3919989609
85	1.821267198	0.3921288479
86	1.81875047	0.3925185089
87	1.816308893	0.3945967009
88	1.813956863	0.3939472659
89	1.811299824	0.3958955709
90	1.809200001	0.3978438758
91	1.806728211	0.3996622938
92	1.805213258	0.4005715028
93	1.802968708	0.4008312768
94	1.800758817	0.4026496948
95	1.797758291	0.4038186778
96	1.795740277	0.4043382257
97	1.793333698	0.4048577737
98	1.791287284	0.4039485647
99	1.787667152	0.4045979997
100	1.786346226	0.4044681127
101	1.78435664	0.4053773217
102	1.780902601	0.4051175477
103	1.779211621	0.4075854007
104	1.776244246	0.4081049487
105	1.774995962	0.4091440447
106	1.772231106	0.4092739317
