iter	Passed	Remaining
0	151	150901
1	169	84505
2	194	64542
3	225	56147
4	254	50582
5	279	46361
6	314	44617
7	339	42072
8	370	40766
9	397	39394
10	425	38297
11	454	37407
12	486	36906
13	512	36090
14	543	35703
15	568	34939
16	596	34508
17	622	33975
18	648	33488
19	677	33178
20	703	32794
21	730	32454
22	759	32267
23	785	31951
24	815	31790
25	841	31530
26	868	31283
27	893	31021
28	922	30890
29	950	30734
30	978	30591
31	1007	30471
32	1035	30356
33	1066	30290
34	1095	30207
35	1123	30090
36	1148	29886
37	1180	29887
38	1209	29800
39	1240	29767
40	1269	29684
41	1292	29476
42	1321	29411
43	1345	29224
44	1372	29133
45	1415	29357
46	1448	29361
47	1478	29328
48	1505	29225
49	1529	29056
50	1560	29033
51	1588	28961
52	1618	28922
53	1647	28869
54	1670	28697
55	1698	28628
56	1726	28570
57	1753	28486
58	1787	28506
59	1814	28434
60	1846	28424
61	1875	28371
62	1903	28309
63	1935	28310
64	1965	28275
65	1995	28243
66	2021	28154
67	2046	28053
68	2075	27997
69	2104	27966
70	2130	27875
71	2159	27832
72	2185	27751
73	2211	27670
74	2238	27612
75	2269	27591
76	2291	27467
77	2317	27398
78	2345	27340
79	2374	27307
80	2398	27207
81	2425	27152
82	2454	27120
83	2483	27083
84	2510	27028
85	2538	26975
86	2564	26912
87	2591	26854
88	2617	26792
89	2643	26733
90	2674	26718
91	2700	26657
92	2726	26586
93	2751	26517
94	2777	26457
95	2809	26457
96	2834	26387
97	2859	26323
98	2891	26318
99	2918	26269
100	2944	26212
101	2970	26152
102	3000	26130
103	3031	26117
104	3055	26047
105	3092	26079
106	3125	26083
107	3155	26058
108	3183	26021
109	3213	25998
110	3242	25971
111	3276	25975
112	3304	25941
113	3336	25928
114	3367	25912
115	3396	25883
116	3424	25843
117	3455	25828
118	3483	25786
119	3508	25732
120	3540	25719
121	3569	25690
122	3598	25658
123	3625	25610
124	3657	25602
125	3686	25569
126	3713	25523
127	3741	25490
128	3776	25498
129	3807	25478
130	3837	25458
131	3870	25448
132	3896	25403
133	3923	25356
134	3956	25350
135	3987	25330
136	4012	25275
137	4037	25219
138	4070	25212
139	4100	25190
140	4125	25134
141	4148	25064
142	4182	25063
143	4213	25048
144	4236	24982
145	4271	24982
146	4298	24945
147	4326	24904
148	4352	24857
149	4380	24824
150	4410	24795
151	4441	24776
152	4465	24723
153	4491	24675
154	4518	24631
155	4541	24572
156	4567	24525
157	4593	24479
158	4635	24518
159	4664	24488
160	4703	24511
161	4731	24476
162	4757	24431
163	4788	24407
164	4819	24390
165	4850	24369
166	4875	24317
167	4904	24290
168	4934	24264
169	4962	24229
170	4989	24188
171	5020	24169
172	5050	24144
173	5076	24099
174	5104	24065
175	5137	24053
176	5163	24009
177	5193	23981
178	5221	23947
179	5249	23914
180	5278	23882
181	5302	23833
182	5326	23778
183	5356	23756
184	5381	23709
185	5410	23676
186	5440	23651
187	5467	23616
188	5497	23588
189	5523	23548
190	5551	23513
191	5579	23479
192	5606	23443
193	5635	23411
194	5669	23405
195	5695	23365
196	5722	23325
197	5747	23278
198	5775	23248
199	5805	23220
200	5834	23193
201	5859	23149
202	5892	23134
203	5920	23100
204	5946	23061
205	5966	22998
206	6000	22988
207	6029	22958
208	6054	22914
209	6083	22886
210	6114	22865
211	6140	22823
212	6167	22786
213	6197	22762
214	6234	22764
215	6272	22765
216	6299	22732
217	6324	22687
218	6355	22665
219	6384	22636
220	6414	22611
221	6441	22574
222	6468	22536
223	6497	22510
224	6526	22479
225	6555	22450
226	6584	22422
227	6614	22396
228	6647	22380
229	6677	22354
230	6701	22309
231	6728	22274
232	6760	22252
233	6785	22213
234	6810	22169
235	6836	22130
236	6869	22114
237	6892	22068
238	6920	22035
239	6950	22009
240	6976	21971
241	7000	21928
242	7025	21886
243	7052	21851
244	7083	21828
245	7110	21792
246	7136	21756
247	7162	21717
248	7192	21692
249	7222	21666
250	7245	21619
251	7276	21598
252	7304	21565
253	7331	21531
254	7355	21489
255	7383	21457
256	7412	21428
257	7438	21392
258	7464	21355
259	7493	21327
260	7522	21299
261	7548	21263
262	7574	21226
263	7605	21204
264	7633	21172
265	7663	21145
266	7691	21116
267	7719	21085
268	7745	21047
269	7769	21006
270	7795	20969
271	7824	20942
272	7858	20927
273	7891	20908
274	7926	20896
275	7953	20864
276	7981	20831
277	8007	20797
278	8037	20771
279	8067	20744
280	8093	20709
281	8123	20682
282	8149	20647
283	8178	20620
284	8201	20576
285	8233	20554
286	8259	20519
287	8282	20477
288	8308	20441
289	8333	20403
290	8365	20382
291	8392	20348
292	8417	20310
293	8443	20277
294	8471	20245
295	8499	20214
296	8525	20180
297	8556	20156
298	8586	20129
299	8613	20098
300	8637	20058
301	8665	20028
302	8692	19995
303	8718	19960
304	8745	19927
305	8778	19908
306	8805	19876
307	8837	19856
308	8861	19817
309	8892	19792
310	8920	19763
311	8949	19734
312	8975	19699
313	9005	19675
314	9033	19644
315	9058	19607
316	9087	19579
317	9116	19552
318	9144	19522
319	9172	19492
320	9204	19470
321	9233	19442
322	9258	19405
323	9280	19362
324	9308	19333
325	9338	19306
326	9367	19278
327	9390	19238
328	9417	19206
329	9455	19197
330	9491	19184
331	9520	19155
332	9549	19128
333	9579	19101
334	9606	19068
335	9634	19039
336	9661	19007
337	9689	18978
338	9712	18938
339	9743	18913
340	9768	18878
341	9792	18841
342	9817	18804
343	9844	18774
344	9871	18741
345	9901	18714
346	9925	18677
347	9957	18655
348	9987	18629
349	10012	18594
350	10041	18566
351	10074	18545
352	10103	18517
353	10129	18484
354	10159	18459
355	10191	18435
356	10215	18398
357	10241	18366
358	10271	18340
359	10299	18310
360	10325	18277
361	10351	18243
362	10382	18219
363	10413	18194
364	10443	18168
365	10468	18133
366	10500	18110
367	10528	18081
368	10558	18054
369	10585	18023
370	10614	17996
371	10643	17968
372	10675	17944
373	10706	17920
374	10733	17888
375	10758	17853
376	10782	17818
377	10811	17789
378	10838	17759
379	10871	17737
380	10892	17697
381	10921	17669
382	10952	17643
383	10977	17610
384	11006	17582
385	11043	17566
386	11070	17535
387	11098	17505
388	11126	17476
389	11153	17445
390	11183	17418
391	11207	17382
392	11238	17358
393	11268	17332
394	11293	17298
395	11320	17267
396	11351	17241
397	11379	17211
398	11410	17187
399	11438	17157
400	11466	17127
401	11490	17092
402	11521	17068
403	11551	17041
404	11573	17002
405	11602	16975
406	11630	16945
407	11659	16916
408	11689	16890
409	11714	16856
410	11740	16824
411	11769	16797
412	11795	16765
413	11823	16734
414	11851	16706
415	11883	16682
416	11913	16655
417	11943	16630
418	11969	16597
419	11997	16567
420	12023	16536
421	12049	16504
422	12080	16478
423	12105	16445
424	12133	16416
425	12159	16384
426	12188	16355
427	12218	16329
428	12247	16301
429	12274	16270
430	12300	16239
431	12327	16208
432	12358	16183
433	12393	16163
434	12430	16144
435	12453	16109
436	12481	16080
437	12510	16052
438	12537	16022
439	12565	15991
440	12593	15962
441	12618	15930
442	12647	15901
443	12672	15869
444	12698	15837
445	12728	15810
446	12758	15784
447	12789	15758
448	12815	15727
449	12841	15695
450	12868	15665
451	12893	15632
452	12920	15601
453	12948	15572
454	12976	15542
455	13008	15518
456	13044	15499
457	13079	15478
458	13115	15458
459	13143	15429
460	13174	15403
461	13205	15377
462	13236	15351
463	13269	15328
464	13299	15301
465	13333	15279
466	13368	15257
467	13400	15232
